TE,NP,NU
5125080303,С,ВЕСЕЛЕ
5125080305,С,САДОВЕ
5125080400,,БІЛОЛІСЬКА/С.БІЛОЛІССЯ
5125080401,С,БІЛОЛІССЯ
5125080500,,БАШТАНІВСЬКА/С.БАШТАНІВКА
5125080501,С,БАШТАНІВКА
5125080800,,БОРИСІВСЬКА/С.БОРИСІВКА
5125080801,С,БОРИСІВКА
5125081200,,ВИШНІВСЬКА/С.ВИШНЕВЕ
5125081201,С,ВИШНЕВЕ
5125081400,,ГЛИБОКІВСЬКА/С.ГЛИБОКЕ
5125081401,С,ГЛИБОКЕ
5125081600,,ДИВІЗІЙСЬКА/С.ДИВІЗІЯ
5125081601,С,ДИВІЗІЯ
5125081602,С,ЛИМАН
5125081900,,ДМИТРІВСЬКА/С.ДЕЛЬЖИЛЕР
5125081901,С,ДЕЛЬЖИЛЕР
5125081903,С,НОВА ОЛЕКСІЇВКА
5125082400,,ЖОВТОЯРСЬКА/С.ЖОВТИЙ ЯР
5125082401,С,ЖОВТИЙ ЯР
5125082402,С,МАРАЗЛІЇВКА
5125082403,С,НОВЕ
5125082407,С,РОЙЛЯНКА
5125082409,С,ЦАРИЧАНКА
5125082600,,КОЧКУВАТСЬКА/С.КОЧКУВАТЕ
5125082601,С,КОЧКУВАТЕ
5125082700,,ЛИМАНСЬКА/С.ЛИМАН
5125082701,С,ЛИМАН
5125083400,,НЕРУШАЙСЬКА/С.НЕРУШАЙ
5125083401,С,НЕРУШАЙ
5125083900,,ПРИМОРСЬКА/С.ПРИМОРСЬКЕ
5125083901,С,ПРИМОРСЬКЕ
5125083903,С,ТРИХАТКИ
5125084200,,РИБАЛЬСЬКА/С.РИБАЛЬСЬКЕ
5125084201,С,РИБАЛЬСЬКЕ
5125084203,С,БАЛАБАНКА
5125084700,,СТРУМКІВСЬКА/С.СТРУМОК
5125084701,С,СТРУМОК
5125084703,С,СПАСЬКЕ
5125085200,,ТРАПІВСЬКА/С.ТРАПІВКА
5125085201,С,ТРАПІВКА
5125085203,С,ЗАРІЧНЕ
5125085205,С,НОВОСЕЛИЦЯ
5125085600,,ТУЗЛІВСЬКА/С.ТУЗЛИ
5125085601,С,ТУЗЛИ
5125085607,С,ВЕСЕЛА БАЛКА
5125085611,С,ЛЕБЕДІВКА
5125085613,С,НОВОМИХАЙЛІВКА
5125200000,,ЗАХАРІВСЬКИЙ РАЙОН/СМТ ЗАХАРІВКА
5125255000,,СЕЛИЩА МІСЬКОГО ТИПУ ЗАХАРІВСЬКОГО Р-НУ
5125255100,Т,ЗАХАРІВКА
5125255101,С,БАЛАШОВЕ
5125255103,С,ГІРКІВКА
5125255105,С,ГЛИБОКОЯР
5125255107,С,ДАВИДІВКА
5125255109,С,ЄЛИЗАВЕТІВКА
5125255111,С,МАЙОРСЬКЕ
5125255113,С,НОВОПАВЛІВКА
5125255117,С,СТОЯНОВЕ
5125255400,Т,ЗАТИШШЯ
5125255401,С,АНДРУСОВА
5125255403,С,ВЕСЕЛА БАЛКА
5125255405,С,ГЕДЕРИМОВЕ ПЕРШЕ
5125255407,С,ДРУЖЕЛЮБІВКА
5125255409,С,ЗАГІР'Я
5125255411,С,КРАСНОПІЛЬ
5125255413,С,НОВА ГРИГОРІВКА
5125255415,С,СКИНЕШОРИ
5125280000,,СІЛЬРАДИ ЗАХАРІВСЬКОГО Р-НУ
5125280500,,ВАСИЛІВСЬКА/С.ВАСИЛІВКА
5125280503,С,ВАСИЛІВКА
5125280505,С,ЧЕРВОНА СТІНКА
5125280900,,ВОЙНИЧІВСЬКА/С.ВОЙНИЧЕВЕ
5125280901,С,ВОЙНИЧЕВЕ
5125280903,С,БОГДАНОВЕ ПЕРШЕ
5125280911,С,САВЧИНСЬКЕ
5125281300,,ЙОСИПІВСЬКА/С.ЙОСИПІВКА
5125281301,С,ЙОСИПІВКА
5125281303,С,САМІЙЛІВКА
5125281307,С,УНТИЛІВКА
5125281900,,КАРАБАНІВСЬКА/С.КАРАБАНОВЕ
5125281901,С,КАРАБАНОВЕ
5125281903,С,КОШАРКА
5125281905,С,КРИМПУЛЬКА
5125281907,С,НОВА ШИБКА
5125281909,С,НОВОМИКОЛАЇВКА
5125282500,,ТОРОСІВСЬКА/С.ТОРОСОВЕ
5125282501,С,ТОРОСОВЕ
5125282503,С,ВОЛОДИМИРІВКА
5125282505,С,ІВАНІВКА
5125282507,С,МАЛОРОШОВЕ
5125283000,,МАР'ЯНІВСЬКА/С.МАР'ЯНІВКА
5125283001,С,МАР'ЯНІВКА
5125283003,С,ДЕМЕНТІВКА
5125283005,С,ОЛЕНІВКА
5125283007,С,ПЕРВОМАЙСЬКЕ
5125283009,С,ПЕТРІВКА
5125283200,,НОВОЗАРІЦЬКА/С.НОВОЗАРІЦЬКЕ
5125283201,С,НОВОЗАРІЦЬКЕ
5125283203,С,БІРНОСОВЕ
5125283205,С,ПЕРШЕ ТРАВНЯ
5125283209,С,ФЕДОСІЇВКА
5125283600,,ОНИЛІВСЬКА/С.ОНИЛОВЕ
5125283601,С,ОНИЛОВЕ
5125283603,С,ЖИГАЙЛОВЕ
5125283605,С,МАЛА ТОПОРІВКА
5125283800,,ПАВЛІВСЬКА/С.ПАВЛІВКА
5125283801,С,ПАВЛІВКА
5125283803,С,ПАРКАНІВКА
5125284200,,ПЕРЕХРЕСТІВСЬКА/С.ПЕРЕХРЕСТОВЕ
5125284201,С,ПЕРЕХРЕСТОВЕ
5125284207,С,ПЕРЕХРЕСТОВЕ ПЕРШЕ
5125284211,С,ПЕТРІВКА
5125284500,,РОСІЯНІВСЬКА/С.РОСІЯНІВКА
5125284501,С,РОСІЯНІВКА
5125400000,,ШИРЯЇВСЬКИЙ РАЙОН/СМТ ШИРЯЄВЕ
5125455000,,СЕЛИЩА МІСЬКОГО ТИПУ ШИРЯЇВСЬКОГО Р-НУ
5125455100,Т,ШИРЯЄВЕ
5125455101,С,ЙОСИПІВКА
5125455103,С,ОДАЇ
5125455105,С,ПОДІЛЬЦІ
5125480000,,СІЛЬРАДИ ШИРЯЇВСЬКОГО Р-НУ
5125480300,,ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА
5125480301,С,ОЛЕКСАНДРІВКА
5125480303,С,ГРЕБЕНЮКИ
5125480305,С,ГРИГОРІВКА
5125480307,С,КАНЦУРОВЕ
5125480309,С,ТРУДОЛЮБІВКА
5125480311,С,ФЛОРИНСЬКЕ
5125480500,,БРАНКОВАНІВСЬКА/С.БРАНКОВАНОВЕ
5125480501,С,БРАНКОВАНОВЕ
5125480504,С,САМІЙЛІВКА
5125480700,,ВІКТОРІВСЬКА/С.ВІКТОРІВКА
5125480701,С,ВІКТОРІВКА
5125480703,С,МАР'ЇВКА
5125481000,,ПЕТРОВІРІВСЬКА/С.ПЕТРОВІРІВКА
5125481001,С,ПЕТРОВІРІВКА
5125481002,С,КОСТЯНТИНІВ
5125481004,С,ПОЛЬОВЕ
5125481005,С,РЕВОВА
5125481400,,КАТЕРИНО-ПЛАТОНІВСЬКА/С.КАТЕРИНО-ПЛАТОНІВКА
5125481401,С,КАТЕРИНО-ПЛАТОНІВКА
5125481402,С,ГАННО-ПОКРОВКА
5125481403,С,КРИЖАНІВКА
5125481404,С,МАРКЕВИЧЕВЕ
5125481405,С,НОВОУКРАЇНКА
5125481900,,МАКАРІВСЬКА/С.МАКАРОВЕ
5125481901,С,МАКАРОВЕ
5125482200,,МАЛІГОНІВСЬКА/С.МАЛІГОНОВЕ
5125482201,С,МАЛІГОНОВЕ
5125482203,С,ВОЛОДИМИРІВКА
5125482204,С,КОПІЙКОВЕ
5125482205,С,МАШЕНЬКА
5125482500,,МАР'ЯНІВСЬКА/С.МАР'ЯНІВКА
5125482501,С,МАР'ЯНІВКА
5125482502,С,СУХА ЖУРІВКА
5125482900,,МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА
5125482901,С,МИКОЛАЇВКА
5125482902,С,НОВОПАВЛІВКА
5125483400,,НОВОАНДРІЇВСЬКА/С.НОВОАНДРІЇВКА
5125483401,С,НОВОАНДРІЇВКА
5125483403,С,ДОКТОРОВЕ
5125483405,С,ЗІРКА
5125483406,С,СІЧНЕВЕ
5125483407,С,СКОСАРІВСЬКЕ
5125483600,,НОВОЄЛИЗАВЕТІВСЬКА/С.НОВОЄЛИЗАВЕТІВКА
5125483601,С,НОВОЄЛИЗАВЕТІВКА
5125483602,С,НОВОПЕТРІВКА ПЕРША
5125483603,С,НОВОПЕТРІВКА ДРУГА
5125483604,С,НОВОСТЕПАНІВКА
5125483605,С,СИРІТСЬКЕ ПЕРШЕ
5125483606,С,СИРІТСЬКЕ ДРУГЕ
5125483607,С,СОФІЇВКА
5125483608,С,СТАРА ЄЛИЗАВЕТІВКА
5125484000,,НОВОСВІТІВСЬКА/С.НОВОСВІТІВКА
5125484001,С,НОВОСВІТІВКА
5125484002,С,РОЗКІШНЕ
5125484400,,АРМАШІВСЬКА/С.АРМАШІВКА
5125484401,С,АРМАШІВКА
5125484402,С,БЕРДИНОВЕ
5125484403,С,КРИЖАНІВКА
5125484404,С,ЖУКОВСЬКЕ
5125484700,,ОСИНІВСЬКА/С.ОСИНІВКА
5125484701,С,ОСИНІВКА
5125484702,С,ВИНОГРАДІВКА
5125484703,С,НОВОГУЛЯЇВКА
5125484704,С,ОЛЕКСАНДРО-ВОВКОВЕ
5125484705,С,ЯРИНОСЛАВКА
5125485200,,САХАНСЬКА/С.САХАНСЬКЕ
5125485201,С,САХАНСЬКЕ
5125485202,С,ГАЛУПОВЕ
5125485203,С,ЖУРАВСЬКЕ
5125485204,С,НИКОМАВРІВКА
5125485600,,СТАРОМАЯКІВСЬКА/С.СТАРІ МАЯКИ
5125485601,С,СТАРІ МАЯКИ
5125485603,С,БУЦИ
5125485604,С,ЗОЛОЧІВСЬКЕ
5125485605,С,НОВІ МАЯКИ
5125485606,С,ТИМОФІЇВКА
5125485607,С,ЯКИМІВ ЯР
5125485900,,ЧОГОДАРІВСЬКА/С.ЧОГОДАРІВКА
5125485901,С,ЧОГОДАРІВКА
5125485902,С,ВАЛЕНТИНІВКА
5125485903,С,КАЧУЛОВЕ
5125486000,,ЧЕРВОНОКУТСЬКА/С.ЧОРНИЙ КУТ
5125486001,С,ЧОРНИЙ КУТ
5125486004,С,ЛІДІВКА
5125486006,С,ПРЕОБРАЖЕНКА
5300000000,,ПОЛТАВСЬКА ОБЛАСТЬ/М.ПОЛТАВА
5310000000,,МІСТА ОБЛАСНОГО ПІДПОРЯДКУВАННЯ ПОЛТАВСЬКОЇ ОБЛАСТІ
5310100000,,ПОЛТАВА
5310136000,,РАЙОНИ М.ПОЛТАВИ
5310136400,Р,КИЇВСЬКИЙ
5310136700,Р,ПОДІЛЬСЬКИЙ
5310137000,Р,ШЕВЧЕНКІВСЬКИЙ
5310200000,М,ГОРІШНІ ПЛАВНІ
5310290000,,"СІЛЬРАДИ, ПІДПОРЯДКОВАНІ КОМСОМОЛЬСЬКІЙ МІСЬКРАДІ"
5310290300,,ДМИТРІВСЬКА/С.ДМИТРІВКА
5310290301,С,ДМИТРІВКА
5310290303,С,БАЗАЛУКИ
5310290309,С,КИЯШКИ
5310290311,С,ГОРА
5310290313,С,КУЗЬМЕНКИ
5310290315,С,СОЛОНЦІ
5310300000,М,ГАДЯЧ
5310400000,,КРЕМЕНЧУК
5310436000,,РАЙОНИ М.КРЕМЕНЧУКА
5310436100,Р,АВТОЗАВОДСЬКИЙ
5310436500,Р,КРЮКІВСЬКИЙ
5310700000,М,ЛУБНИ
5310900000,М,МИРГОРОД
5320000000,,РАЙОНИ ПОЛТАВСЬКОЇ ОБЛАСТІ
5320200000,,ВЕЛИКОБАГАЧАНСЬКИЙ РАЙОН/СМТ ВЕЛИКА БАГАЧКА
5320255000,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕЛИКОБАГАЧАНСЬКОГО Р-НУ
5320255100,Т,ВЕЛИКА БАГАЧКА
5320255101,С,БАЙРАК
5320255102,С,БУРЯКІВЩИНА
5320255103,С,БУТОВА ДОЛИНА
5320255104,С,ГАРНОКУТ
5320255105,С,ДОВГАЛІВКА
5320255106,С,ЗАТОН
5320255107,С,МАЛА РЕШЕТИЛІВКА
5320255108,С,ПИЛИПЕНКИ
5320255109,С,ШЕПЕЛІ
5320255400,Т,ГОГОЛЕВЕ
5320280000,,СІЛЬРАДИ ВЕЛИКОБАГАЧАНСЬКОГО Р-НУ
5320280300,,ЯКИМІВСЬКА/С.ЯКИМОВЕ
5320280301,С,ЯКИМОВЕ
5320280302,С,БАЛЮКИ
5320280600,,БАЛАКЛІЇВСЬКА/С.БАЛАКЛІЯ
5320280601,С,БАЛАКЛІЯ
5320280602,С,КОЛОСІВКА
5320280603,С,ПИСАРІВЩИНА
5320280604,С,ШИПОШІ
5320280900,,БАГАЧАНСЬКА ПЕРША/С.БАГАЧКА ПЕРША
5320280901,С,БАГАЧКА ПЕРША
5320280902,С,ПУШКАРЕВЕ
5320280904,С,СЕМЕНІВКА
5320280907,С,ШИРОКЕ
5320281000,,БІРКІВСЬКА/С.БІРКИ
5320281001,С,БІРКИ
5320281003,С,БАЛАНДИ
5320281005,С,ВИШНЯКІВКА
5320281009,С,СТІНКИ
5320281200,,БІЛОЦЕРКІВСЬКА/С.БІЛОЦЕРКІВКА
5320281201,С,БІЛОЦЕРКІВКА
5320281205,С,ГЕРУСІВКА
5320281206,С,ДЗЮБІВЩИНА
5320281208,С,КОНОПЛЯНКА
5320281209,С,КРАСНОГОРІВКА
5320281210,С,ЛУГОВЕ
5320281211,С,МОРОЗІВЩИНА
5320281212,С,СИДОРІВЩИНА
5320281800,,КОРНІЄНКІВСЬКА/С.КОРНІЄНКИ
5320281801,С,КОРНІЄНКИ
5320281802,С,ВИШАРІ
5320281803,С,МОСТОВІВЩИНА
5320281804,С,ПОПОВЕ
5320281805,С,ТРУДОЛЮБИВЕ
5320281806,С,ЦИКАЛИ
5320281807,С,ШПИРНИ
5320282200,,КРОТІВЩИНСЬКА/С.КРОТІВЩИНА
5320282201,С,КРОТІВЩИНА
5320282202,С,ЛУКАШІ
5320282203,С,СКИБІВЩИНА
5320282600,,МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА
5320282601,С,МИХАЙЛІВКА
5320282603,С,КУЛЬБАШНЕ
5320282604,С,МАР'ЯНСЬКЕ
5320282900,,МАТЯШІВСЬКА/С.МАТЯШІВКА
5320282901,С,МАТЯШІВКА
5320283600,,ОСТАП'ЇВСЬКА/С.ОСТАП'Є
5320283601,С,ОСТАП'Є
5320283602,С,ЗАПСІЛЛЯ
5320283603,С,НОВЕ ОСТАПОВЕ
5320283604,С,ОЛЕФІРИ
5320283605,С,ПІДГІР'Я
5320283606,С,УХАНІВКА
5320284000,,ПОДІЛЬСЬКА/С.ПОДІЛ
5320284001,С,ПОДІЛ
5320284002,С,ОГИРІВКА
5320284300,,РАДИВОНІВСЬКА/С.РАДИВОНІВКА
5320284301,С,РАДИВОНІВКА
5320284302,С,ВОЛОДИМИРІВКА
5320284303,С,ІВАНІВКА
5320284304,С,ПЕРЕКОПІВКА
5320284305,С,МАР'ЯНІВКА
5320284700,,РОКИТЯНСЬКА/С.РОКИТА
5320284701,С,РОКИТА
5320284702,С,АНДРУЩИНЕ
5320284704,С,ГОВОРИ
5320284705,С,КРАВЧЕНКИ
5320285000,,СТЕПАНІВСЬКА/С.СТЕПАНІВКА
5320285001,С,СТЕПАНІВКА
5320285007,С,СТЕФАНІВЩИНА
5320285300,,УСТИВИЦЬКА/С.УСТИВИЦЯ
5320285301,С,УСТИВИЦЯ
5320285302,С,ГРЯНЧИХА
5320285303,С,ДАКАЛІВКА
5320285304,С,ПІДЛУКИ
5320285305,С,ПСІЛЬСЬКЕ
5320285700,,ШИРОКОДОЛИНСЬКА/С.ШИРОКА ДОЛИНА
5320285701,С,ШИРОКА ДОЛИНА
5320285703,С,БЕХТЕРЩИНА
5320285705,С,СУРЖКИ
5320400000,,ГАДЯЦЬКИЙ РАЙОН/М.ГАДЯЧ
5320410000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГАДЯЦЬКОГО Р-НУ
5320480000,,СІЛЬРАДИ ГАДЯЦЬКОГО Р-НУ
5320480400,,БІЛЕНЧЕНКІВСЬКА/С.БІЛЕНЧЕНКІВКА
5320480401,С,БІЛЕНЧЕНКІВКА
5320480402,С,ГРИПАКИ
5320480403,С,КІБЛИЦЬКЕ
5320480404,С,ОРІХАНОВЕ
5320480405,С,ОСНЯГИ
5320480406,С,ОСТРОВЕРХІВКА
5320480408,С,ПЕТРОСЕЛІВКА
5320480409,С,ПИСАРІВЩИНА
5320480411,С,РУДИКІВ
5320480413,С,СТЕПАНЕНКИ
5320480700,,БЕРЕЗОВОЛУЦЬКА/С.БЕРЕЗОВА ЛУКА
5320480701,С,БЕРЕЗОВА ЛУКА
5320480702,С,ЛИХОПІЛЛЯ
5320480703,С,МЕЛЕШКИ
5320481100,,БОБРИЦЬКА/С.БОБРИК
5320481101,С,БОБРИК
5320481102,С,ПЕДОРИЧІ
5320481400,,ВЕЛИКОБУДИЩАНСЬКА/С.ВЕЛИКІ БУДИЩА
5320481401,С,ВЕЛИКІ БУДИЩА
5320481700,,ВЕЛЬБІВСЬКА/С.ВЕЛЬБІВКА
5320481701,С,ВЕЛЬБІВКА
5320481702,С,ЗАПСІЛЬСЬКЕ
5320481703,С,ТЕПЛЕ
5320481704,С,ТЮТЮРІВЩИНА
5320482000,,ВЕПРИЦЬКА/С.ВЕПРИК
5320482001,С,ВЕПРИК
5320482400,,ГРЕЧАНІВСЬКА/С.ГРЕЧАНІВКА
5320482401,С,ГРЕЧАНІВКА
5320482403,С,ЗЕЛЕНА БАЛКА
5320482405,С,МИКОЛАЇВКА
5320482407,С,ТРИГУБЩИНА
5320482600,,КАЧАНІВСЬКА/С.КАЧАНОВЕ
5320482601,С,КАЧАНОВЕ
5320482602,С,ВИРІШАЛЬНЕ
5320482603,С,НОВОСЕЛІВКА
5320482604,С,СТЕПОВЕ
5320482605,С,ДАЧНЕ
5320483000,,КНИШІВСЬКА/С.КНИШІВКА
5320483001,С,КНИШІВКА
5320483003,С,БРОВАРКИ
5320483004,С,ДУЧИНЦІ
5320483400,,СЕРГІЇВСЬКА/С.СЕРГІЇВКА
5320483401,С,СЕРГІЇВКА
5320483402,С,ВЕЧІРЧИНЕ
5320483403,С,КАЛИНІВЩИНА
5320483404,С,ЛОБОДИНЕ
5320483405,С,ЧЕРНЕЧЕ
5320483600,,КРАСНОЛУЦЬКА/С.КРАСНА ЛУКА
5320483601,С,КРАСНА ЛУКА
5320483602,С,БУХАЛОВЕ
5320483603,С,ХИТЦІ
5320484100,,ЛИСІВСЬКА/С.ЛИСІВКА
5320484101,С,ЛИСІВКА
5320484102,С,ГЛИБОКЕ
5320484103,С,КРУГЛЕ ОЗЕРО
5320484104,С,МАЛА ОБУХІВКА
5320484105,С,МЛИНИ
5320484106,С,ПЕРЕВІЗ
5320484107,С,СОЛДАТОВЕ
5320484400,,ЛЮТЕНСЬКА/С.ЛЮТЕНЬКА
5320484401,С,ЛЮТЕНЬКА
5320484402,С,ЮР'ЇВКА
5320484600,,МАЛОПОБИВАНСЬКА/С.МАЛА ПОБИВАНКА
5320484601,С,МАЛА ПОБИВАНКА
5320484602,С,ГЛИБОКА ДОЛИНА
5320484603,С,ПИРЯТИНЩИНА
5320484700,,МАРТИНІВСЬКА/С.МАРТИНІВКА
5320484701,С,МАРТИНІВКА
5320484702,С,ВЕЛИКЕ
5320484703,С,ВОРОНІВЩИНА
5320484704,С,МОГИЛАТІВ
5320484705,С,МОРОЗІВЩИНА
5320484706,С,ШАДУРКА
5320485200,,ПЕТРІВСЬКО-РОМЕНСЬКА/С.ПЕТРІВКА-РОМЕНСЬКА
5320485201,С,ПЕТРІВКА-РОМЕНСЬКА
5320485202,С,БАЛЯСНЕ
5320485203,С,ВЕНЕСЛАВІВКА
5320485300,,ПЛІШИВЕЦЬКА/С.ПЛІШИВЕЦЬ
5320485301,С,ПЛІШИВЕЦЬ
5320485303,С,БАКУТИ
5320485306,С,ТИМОФІЇВКА
5320485500,,РАШІВСЬКА/С.РАШІВКА
5320485501,С,РАШІВКА
5320485502,С,НОВИЙ ВИСЕЛОК
5320485900,,РОЗБИШІВСЬКА/С.РОЗБИШІВКА
5320485901,С,РОЗБИШІВКА
5320485902,С,ВЕСЕЛЕ
5320485904,С,КРАМАРЩИНА
5320486200,,РУЧКІВСЬКА/С.РУЧКИ
5320486201,С,РУЧКИ
5320486500,,РИМАРІВСЬКА/С.РИМАРІВКА
5320486501,С,РИМАРІВКА
5320486502,С,ЗМАЖИНЕ
5320486503,С,МАКСИМІВКА
5320486504,С,ЦИМБАЛОВЕ
5320486900,,САРІВСЬКА/С.САРИ
5320486901,С,САРИ
5320486902,С,ДОНЦІВЩИНА
5320486903,С,КИЇВСЬКЕ
5320486904,С,МАЛІ БУДИЩА
5320486905,С,САРАНЧОВА ДОЛИНА
5320486906,С,ЧЕРВОНИЙ КУТ
5320487200,,СВАТКІВСЬКА/С.СВАТКИ
5320487201,С,СВАТКИ
5320487202,С,БЕРІЗКИ
5320487203,С,БІРКИ
5320487204,С,ШЕВЧЕНКОВЕ
5320487500,,СЕРЕДНЯКІВСЬКА/С.СЕРЕДНЯКИ
5320487501,С,СЕРЕДНЯКИ
5320487502,С,ВЕТХАЛІВКА
5320487505,С,КОНОВАЛОВЕ
5320487800,,СОСНІВСЬКА/С.СОСНІВКА
5320487801,С,СОСНІВКА
5320488200,,ХАРКОВЕЦЬКА/С.ХАРКІВЦІ
5320488201,С,ХАРКІВЦІ
5320488202,С,БУТОВИЧЕСЬКЕ
5320488203,С,КИЯШКІВСЬКЕ
5320488204,С,КРУГЛИК
5320488500,,ЦІПКІВСЬКА/С.ЦІПКИ
5320488501,С,ЦІПКИ
5320600000,,ГЛОБИНСЬКИЙ РАЙОН/М.ГЛОБИНЕ
5320610000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГЛОБИНСЬКОГО Р-НУ
5320610100,М,ГЛОБИНЕ
5320610101,С,КОРДУБАНОВЕ
5320610103,С,НОВОДОРОЖНЄ
5320610104,С,НОВОМОСКОВСЬКЕ
5320610105,С,СЕМИМОГИЛИ
5320610106,С,СТАРИЙ ХУТІР
5320610107,С,ЧЕРЕВАНІ
5320610108,С,ШЕПЕЛІВКА
5320655000,,СЕЛИЩА МІСЬКОГО ТИПУ ГЛОБИНСЬКОГО Р-НУ
5320655400,Т,ГРАДИЗЬК
5320655401,С,ГАННІВКА
5320655402,С,КОТЛЯРЕВСЬКЕ
5320655403,С,ЛІЗКИ
5320655404,С,СЕРЕДПІЛЛЯ
5320680000,,СІЛЬРАДИ ГЛОБИНСЬКОГО Р-НУ
5320680400,,БАБИЧІВСЬКА/С.БАБИЧІВКА
5320680401,С,БАБИЧІВКА
5320680402,С,НАБЕРЕЖНЕ
5320680403,С,НОВОБУДОВА
5320680404,С,УСТИМІВКА
5320680500,,БОРИСІВСЬКА/С.БОРИСИ
5320680501,С,БОРИСИ
5320680700,,БРОВАРКІВСЬКА/С.БРОВАРКИ
5320680701,С,БРОВАРКИ
5320680702,С,ВИШЕНЬКИ
5320680703,С,КИРИЯКІВКА
5320680704,С,ПЕЛЕХІВЩИНА
5320680705,С,ПЕТРАШІВКА
5320681000,,БУГАЇВСЬКА/С.БУГАЇВКА
5320681001,С,БУГАЇВКА
5320681400,,ГОРБІВСЬКА/С.ГОРБИ
5320681401,С,ГОРБИ
5320681402,С,БІЛОУСІВКА
5320681403,С,СИДОРИ
5320681700,,ГРИНЬКІВСЬКА/С.ГРИНЬКИ
5320681701,С,ГРИНЬКИ
5320681702,С,ТИМОШІВКА
5320682200,,ЖУКІВСЬКА/С.ЖУКИ
5320682201,С,ЖУКИ
5320682202,С,ЖОРНЯКИ
5320682203,С,КОЛОМИЦІВКА
5320682204,С,ПАВЛІВКА
5320682205,С,НОВОСЕЛІВКА
5320682500,,ЗАМОЖНЕНСЬКА/С.ЗАМОЖНЕ
5320682501,С,ЗАМОЖНЕ
5320682502,С,ГЛИБОКЕ
5320682504,С,ГЛУШКОВЕ ДРУГЕ
5320682800,,ЗЕМЛЯНКІВСЬКА/С.ЗЕМЛЯНКИ
5320682801,С,ЗЕМЛЯНКИ
5320682802,С,КОРЕЩИНА
5320682803,С,МАЛИНІВКА
5320682804,С,РАДАЛІВКА
5320683200,,ЗУБАНІВСЬКА/С.ЗУБАНІ
5320683201,С,ЗУБАНІ
5320683202,С,РОМАНІВКА
5320683203,С,РУДА
5320683600,,ІВАНОВО-СЕЛИЩЕНСЬКА/С.ІВАНОВЕ СЕЛИЩЕ
5320683601,С,ІВАНОВЕ СЕЛИЩЕ
5320683602,С,ДЕМЧЕНКИ
5320683603,С,КОВНІРІВЩИНА
5320684600,,КРИНКІВСЬКА/С.ВЕЛИКІ КРИНКИ
5320684601,С,ВЕЛИКІ КРИНКИ
5320684602,С,ВЕСЕЛА ДОЛИНА
5320684603,С,СІРЕНКИ
5320684604,С,СТЕПОВЕ
5320684605,С,ШЕВЧЕНКИ
5320684900,,КУП'ЄВАТІВСЬКА/С.КУП'ЄВАТЕ
5320684901,С,КУП'ЄВАТЕ
5320684902,С,ДЕМИДІВКА
5320684903,С,ЛУКАШІВКА
5320684904,С,МАЙДАНІВКА
5320684905,С,МАНИЛІВСЬКЕ
5320685400,,МАНЖЕЛІЇВСЬКА/С.МАНЖЕЛІЯ
5320685401,С,МАНЖЕЛІЯ
5320685402,С,ВІТКИ
5320685403,С,ЛАМАНЕ
5320685800,,ОБОЗНІВСЬКА/С.ОБОЗНІВКА
5320685801,С,ОБОЗНІВКА
5320685802,С,БАГНИ
5320685803,С,ГУЛЯЙПОЛЕ
5320685804,С,ЗАРІЧНЕ
5320685805,С,НОВИЙ ВИСЕЛОК
5320686000,,ОПРИШКІВСЬКА/С.ОПРИШКИ
5320686001,С,ОПРИШКИ
5320686002,С,БИТАКОВЕ ОЗЕРО
5320686003,С,МАР'ЇНЕ
5320686100,,ПЕТРІВСЬКА/С.ПЕТРІВКА
5320686101,С,ПЕТРІВКА
5320686102,С,ТУРБАЇ
5320686400,,ПИРОГІВСЬКА/С.ПИРОГИ
5320686401,С,ПИРОГИ
5320686403,С,ЯРОШІ
5320686800,,ПОГРЕБІВСЬКА/С.ПОГРЕБИ
5320686801,С,ПОГРЕБИ
5320686802,С,КАНІВЩИНА
5320687200,,ПРОНОЗІВСЬКА/С.ПРОНОЗІВКА
5320687201,С,ПРОНОЗІВКА
5320687202,С,ВАСЬКІВКА
5320687203,С,КАГАМЛИК
5320687204,С,МОЗОЛІЇВКА
5320687205,С,ШУШВАЛІВКА
5320687500,,ПУЗИКІВСЬКА/С.ПУЗИКОВЕ
5320687501,С,ПУЗИКОВЕ
5320687505,С,МАХНІВКА
5320687600,,ПУСТОВІЙТІВСЬКА/С.ПУСТОВІЙТОВЕ
5320687601,С,ПУСТОВІЙТОВЕ
5320687602,С,БАЛАБУШИНІ ВЕРБИ
5320688100,,СВЯТИЛІВСЬКА/С.СВЯТИЛІВКА
5320688101,С,СВЯТИЛІВКА
5320688102,С,КРИВА РУДА
5320688103,С,ЛИПОВЕ
5320688104,С,ПРОЦЕНКИ
5320688105,С,СТРУТИНІВКА
5320688900,,ФЕДОРІВСЬКА/С.ФЕДОРІВКА
5320688901,С,ФЕДОРІВКА
5320688902,С,ЛУБЕНЩИНА
5320688904,С,ПОПІВКА
5320689400,,ТРОЇЦЬКА/С.ТРОЇЦЬКЕ
5320689401,С,ТРОЇЦЬКЕ
5320689402,С,СИРОТЕНКИ
