"TE","NP","NU","NR"
"5120285601","С","ШИМКОВЕ","ШИМКОВО"
"5120285602","С","АМУРИ","АМУРЫ"
"5120285603","С","ВЕРБОВЕ","ВЕРБОВОЕ"
"5120400000",,"АРЦИЗЬКИЙ РАЙОН/М.АРЦИЗ","АРЦИЗСКИЙ РАЙОН/Г.АРЦИЗ"
"5120410000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ АРЦИЗЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ АРЦИЗСКОГО Р-НА"
"5120410100","М","АРЦИЗ","АРЦИЗ"
"5120480000",,"СІЛЬРАДИ АРЦИЗЬКОГО Р-НУ","СЕЛЬСОВЕТЫ АРЦИЗСКОГО Р-НА"
"5120480500",,"ВЕСЕЛОКУТСЬКА/С.ВЕСЕЛИЙ КУТ","ВЕСЕЛОКУТСКИЙ/С.ВЕСЕЛЫЙ КУТ"
"5120480501","С","ВЕСЕЛИЙ КУТ","ВЕСЕЛЫЙ КУТ"
"5120480502","С","РОЩА","РОЩА"
"5120480700",,"ВИНОГРАДІВСЬКА/С.ВИНОГРАДІВКА","ВИНОГРАДОВСКИЙ/С.ВИНОГРАДОВКА"
"5120480701","С","ВИНОГРАДІВКА","ВИНОГРАДОВКА"
"5120480703","С","ПЛОЦЬК","ПЛОЦК"
"5120481000",,"ВОЗНЕСЕНСЬКА ПЕРША/С.ВОЗНЕСЕНКА ПЕРША","ВОЗНЕСЕНСКИЙ-ПЕРВЫЙ/С.ВОЗНЕСЕНКА-ПЕРВАЯ"
"5120481001","С","ВОЗНЕСЕНКА ПЕРША","ВОЗНЕСЕНКА ПЕРВАЯ"
"5120481002","С","ВИШНЯКИ","ВИШНЯКИ"
"5120481003","С","НОВОМИРНЕ","НОВОМИРНОЕ"
"5120481400",,"ГЛАВАНСЬКА/С.ГЛАВАНІ","ГЛАВАНСКИЙ/С.ГЛАВАНИ"
"5120481401","С","ГЛАВАНІ","ГЛАВАНИ"
"5120481900",,"ДЕЛЕНСЬКА/С.ДЕЛЕНЬ","ДЕЛЕНСКИЙ/С.ДЕЛЕНЬ"
"5120481901","С","ДЕЛЕНЬ","ДЕЛЕНЬ"
"5120481902","С","НОВОСЕЛІВКА","НОВОСЕЛОВКА"
"5120482100",,"ДОЛИНІВСЬКА/С.ДОЛИНІВКА","ДОЛИНОВСКИЙ/С.ДОЛИНОВКА"
"5120482101","С","ДОЛИНІВКА","ДОЛИНОВКА"
"5120482400",,"ЗАДУНАЇВСЬКА/С.ЗАДУНАЇВКА","ЗАДУНАЕВСКИЙ/С.ЗАДУНАЕВКА"
"5120482401","С","ЗАДУНАЇВКА","ЗАДУНАЕВКА"
"5120482700",,"КАМ'ЯНСЬКА/С.КАМ'ЯНСЬКЕ","КАМЕНСКИЙ/С.КАМЕНСКОЕ"
"5120482701","С","КАМ'ЯНСЬКЕ","КАМЕНСКОЕ"
"5120483400",,"МИРНОПІЛЬСЬКА/С.МИРНОПІЛЛЯ","МИРНОПОЛЬСКИЙ/С.МИРНОПОЛЬЕ"
"5120483401","С","МИРНОПІЛЛЯ","МИРНОПОЛЬЕ"
"5120483700",,"НАДЕЖДІВСЬКА/С.НАДЕЖДІВКА","НАДЕЖДОВСКИЙ/С.НАДЕЖДОВКА"
"5120483701","С","НАДЕЖДІВКА","НАДЕЖДОВКА"
"5120483900",,"НОВОІВАНІВСЬКА/С.НОВА ІВАНІВКА","НОВОИВАНОВСКИЙ/С.НОВАЯ ИВАНОВКА"
"5120483901","С","НОВА ІВАНІВКА","НОВАЯ ИВАНОВКА"
"5120484200",,"НОВОКАПЛАНІВСЬКА/С.НОВІ КАПЛАНИ","НОВОКАПЛАНОВСКИЙ/С.НОВЫЕ КАПЛАНЫ"
"5120484201","С","НОВІ КАПЛАНИ","НОВЫЕ КАПЛАНЫ"
"5120484203","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"5120484700",,"ОСТРІВНЕНСЬКА/С.ОСТРІВНЕ","ОСТРОВНЕНСКИЙ/С.ОСТРОВНОЕ"
"5120484701","С","ОСТРІВНЕ","ОСТРОВНОЕ"
"5120485200",,"ПАВЛІВСЬКА/С.ПАВЛІВКА","ПАВЛОВСКИЙ/С.ПАВЛОВКА"
"5120485201","С","ПАВЛІВКА","ПАВЛОВКА"
"5120485203","С","ЗЕЛЕНА БАЛКА","ЗЕЛЕНАЯ БАЛКА"
"5120485400",,"ПРЯМОБАЛКІВСЬКА/С.ПРЯМОБАЛКА","ПРЯМОБАЛКОВСКИЙ/С.ПРЯМОБАЛКА"
"5120485401","С","ПРЯМОБАЛКА","ПРЯМОБАЛКА"
"5120485900",,"ТЕПЛИЦЬКА/С.ТЕПЛИЦЯ","ТЕПЛИЦКИЙ/С.ТЕПЛИЦА"
"5120485901","С","ТЕПЛИЦЯ","ТЕПЛИЦА"
"5120485902","С","САДОВЕ","САДОВОЕ"
"5120486400",,"ХОЛМСЬКА/С.ХОЛМСЬКЕ","ХОЛМСКИЙ/С.ХОЛМСКОЕ"
"5120486401","С","ХОЛМСЬКЕ","ХОЛМСКОЕ"
"5120486402","Щ","НОВОХОЛМСЬКЕ","НОВОХОЛМСКОЕ"
"5120600000",,"БАЛТСЬКИЙ РАЙОН/М.БАЛТА","БАЛТСКИЙ РАЙОН/Г.БАЛТА"
"5120680000",,"СІЛЬРАДИ БАЛТСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БАЛТСКОГО Р-НА"
"5120680500",,"БОРСУКІВСЬКА/С.БОРСУКИ","БАРСУКОВСКИЙ/С.БАРСУКИ"
"5120680501","С","БОРСУКИ","БАРСУКИ"
"5120680800",,"БІЛИНСЬКА/С.БІЛИНЕ","БЕЛИНСКИЙ/С.БЕЛИНО"
"5120680801","С","БІЛИНЕ","БЕЛИНО"
"5120680802","С","АКУЛИНІВКА","АКУЛИНОВКА"
"5120680803","С","ВІДРАДА","ОТРАДА"
"5120680805","С","ПЕТРІВКА","ПЕТРОВКА"
"5120680806","С","ХАРИТИНІВКА","ХАРИТОНОВКА"
"5120681100",,"БЕНДЗАРІВСЬКА/С.БЕНДЗАРИ","БЕНДЗАРОВСКИЙ/С.БЕНДЗАРЫ"
"5120681101","С","БЕНДЗАРИ","БЕНДЗАРЫ"
"5120681102","С","АНДРІЯШІВКА","АНДРИЯШЕВКА"
"5120681500",,"ГЕРБИНСЬКА/С.ГЕРБИНЕ","ГЕРБИНСКИЙ/С.ГЕРБИНО"
"5120681501","С","ГЕРБИНЕ","ГЕРБИНО"
"5120681600",,"ГОЛЬМ'ЯНСЬКА/С.ГОЛЬМА","ГОЛЬМЯНСКИЙ/С.ГОЛЬМА"
"5120681601","С","ГОЛЬМА","ГОЛЬМА"
"5120682200",,"КАРМАЛЮКІВСЬКА/С.КАРМАЛЮКІВКА","КАРМАЛЮКОВСКИЙ/С.КАРМАЛЮКОВКА"
"5120682201","С","КАРМАЛЮКІВКА","КАРМАЛЮКОВКА"
"5120682202","С","ЄВТОДІЯ","ЕВТОДИЯ"
"5120682203","С","ЗЕЛЕНИЙ ГАЙ","ЗЕЛЕНЫЙ ГАЙ"
"5120682400",,"КОЗАЦЬКА/С.КОЗАЦЬКЕ","КАЗАЦКИЙ/С.КАЗАЦКОЕ"
"5120682450","С","КОЗАЦЬКЕ","КАЗАЦКОЕ"
"5120682600",,"КОРИТНЕНСЬКА/С.КОРИТНЕ","КОРЫТНЕНСКИЙ/С.КОРЫТНОЕ"
"5120682601","С","КОРИТНЕ","КОРЫТНОЕ"
"5120683200",,"ЛІСНИЧІВСЬКА/С.ЛІСНИЧІВКА","ЛЕСНИЧОВСКИЙ/С.ЛЕСНИЧОВКА"
"5120683201","С","ЛІСНИЧІВКА","ЛЕСНИЧОВКА"
"5120683800",,"МИРОНІВСЬКА/С.МИРОНИ","МИРОНОВСКИЙ/С.МИРОНЫ"
"5120683801","С","МИРОНИ","МИРОНЫ"
"5120684400",,"ОБЖИЛЬСЬКА/С.ОБЖИЛЕ","ОБЖИЛЬСКИЙ/С.ОБЖИЛОЕ"
"5120684401","С","ОБЖИЛЕ","ОБЖИЛОЕ"
"5120684402","С","БЕРЕЗІВКА","БЕРЕЗОВКА"
"5120685000",,"ОЛЕНІВСЬКА/С.ОЛЕНІВКА","ОЛЕНОВСКИЙ/С.ОЛЕНОВКА"
"5120685001","С","ОЛЕНІВКА","ОЛЕНОВКА"
"5120685002","С","МОШНЯГИ","МОШНЯГИ"
"5120685003","С","СЕМЕНО-КАРПІВКА","СЕМЕНО-КАРПОВКА"
"5120685400",,"ПАСАТСЬКА/С.ПАСАТ","ПАСАТСКИЙ/С.ПАСАТ"
"5120685401","С","ПАСАТ","ПАСАТ"
"5120685700",,"ПАСИЦЕЛІВСЬКА/С.ПАСИЦЕЛИ","ПАСИЦЕЛОВСКИЙ/С.ПАСИЦЕЛЫ"
"5120685701","С","ПАСИЦЕЛИ","ПАСИЦЕЛЫ"
"5120686300",,"ПЕРЕЙМІВСЬКА/С.ПЕРЕЙМА","ПЕРЕЙМОВСКИЙ/С.ПЕРЕЙМА"
"5120686301","С","ПЕРЕЙМА","ПЕРЕЙМА"
"5120686600",,"ПЕРЕЛІТСЬКА/С.ПЕРЕЛЬОТИ","ПЕРЕЛЕТСКИЙ/С.ПЕРЕЛЕТЫ"
"5120686601","С","ПЕРЕЛЬОТИ","ПЕРЕЛЕТЫ"
"5120686602","С","НЕМИРІВСЬКЕ","НЕМИРОВСКОЕ"
"5120686900",,"ПІЩАНСЬКА/С.ПІЩАНА","ПЕСЧАНСКИЙ/С.ПЕСЧАНАЯ"
"5120686901","С","ПІЩАНА","ПЕСЧАНАЯ"
"5120687200",,"ПЛОСКІВСЬКА/С.ПЛОСКЕ","ПЛОСКОВСКИЙ/С.ПЛОСКОЕ"
"5120687201","С","ПЛОСКЕ","ПЛОСКОЕ"
"5120687500",,"ПУЖАЙКІВСЬКА/С.ПУЖАЙКОВЕ","ПУЖАЙКОВСКИЙ/С.ПУЖАЙКОВО"
"5120687501","С","ПУЖАЙКОВЕ","ПУЖАЙКОВО"
"5120687502","С","САВРАНСЬКЕ","САВРАНСКОЕ"
"5120687900",,"САРАЖИНСЬКА/С.САРАЖИНКА","САРАЖИНСКИЙ/С.САРАЖИНКА"
"5120687901","С","САРАЖИНКА","САРАЖИНКА"
"5120688200",,"СІННЕНСЬКА/С.СІННЕ","СЕННЕНСКИЙ/С.СЕННОЕ"
"5120688201","С","СІННЕ","СЕННОЕ"
"5120688800",,"НОВОПОЛЬСЬКА/С.НОВОПОЛЬ","НОВОПОЛЬСКИЙ/С.НОВОПОЛЬ"
"5120688801","С","НОВОПОЛЬ","НОВОПОЛЬ"
"5120688802","С","ВОЛОВА","ВОЛОВАЯ"
"5120688803","С","КРИЖОВЛИН","КРЫЖОВЛИН"
"5120689100",,"ЧЕРНЕЧЕНСЬКА/С.ЧЕРНЕЧЕ","ЧЕРНЕЧЕНСКИЙ/С.ЧЕРНЕЧЕ"
"5120689101","С","ЧЕРНЕЧЕ","ЧЕРНЕЧЕ"
"5120689500",,"ШЛЯХІВСЬКА/С.ШЛЯХОВЕ","ШЛЯХОВСКИЙ/С.ШЛЯХОВОЕ"
"5120689501","С","ШЛЯХОВЕ","ШЛЯХОВОЕ"
"5120689502","С","КРИНИЧКИ","КРИНИЧКИ"
"5120689503","С","РАКУЛОВЕ","РАКУЛОВО"
"5120689504","С","ШУМИЛОВЕ","ШУМИЛОВОЕ"
"5120800000",,"БІЛГОРОД-ДНІСТРОВСЬКИЙ РАЙОН/М.БІЛГОРОД-ДНІСТРОВСЬКИЙ","БЕЛГОРОД-ДНЕСТРОВСКИЙ РАЙОН/Г.БЕЛГОРОД-ДНЕСТРОВСКИЙ"
"5120880000",,"СІЛЬРАДИ БІЛГОРОД-ДНІСТРОВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БЕЛГОРОД-ДНЕСТРОВСКОГО Р-НА"
"5120880300",,"АДАМІВСЬКА/С.АДАМІВКА","АДАМОВСКИЙ/С.АДАМОВКА"
"5120880301","С","АДАМІВКА","АДАМОВКА"
"5120880302","С","АВИДІВКА","АВИДОВКА"
"5120880303","С","БЛАГОДАТНЕ","БЛАГОДАТНОЕ"
"5120880700",,"АНДРІЇВСЬКА/С.АНДРІЇВКА","АНДРЕЕВСКИЙ/С.АНДРЕЕВКА"
"5120880701","С","АНДРІЇВКА","АНДРЕЕВКА"
"5120880703","С","РОЗКІШНЕ","РОСКОШНОЕ"
"5120881200",,"БРИТІВСЬКА/С.БРИТІВКА","БРИТОВСКИЙ/С.БРИТОВКА"
"5120881201","С","БРИТІВКА","БРИТОВКА"
"5120881203","С","ВИГОН","ВЫГОН"
"5120881204","С","ПОЛЬОВЕ","ПОЛЕВОЕ"
"5120881207","С","ЧЕРКЕСИ","ЧЕРКЕСЫ"
"5120881600",,"ВЕЛИКОМАР'ЯНІВСЬКА/С.ВЕЛИКОМАР'ЯНІВКА","ВЕЛИКОМАРЬЯНОВСКИЙ/С.ВЕЛИКОМАРЬЯНОВКА"
"5120881601","С","ВЕЛИКОМАР'ЯНІВКА","ВЕЛИКОМАРЬЯНОВКА"
"5120881602","С","ДОЛИНІВКА","ДОЛИНОВКА"
"5120881800",,"ВОЛОДИМИРІВСЬКА/С.ВОЛОДИМИРІВКА","ВЛАДИМИРОВСКИЙ/С.ВЛАДИМИРОВКА"
"5120881801","С","ВОЛОДИМИРІВКА","ВЛАДИМИРОВКА"
"5120881802","С","ДАЛЬНІЧЕНЬ","ДАЛЬНИЧЕНЬ"
"5120881803","С","ЧИСТОВОДНЕ","ЧИСТОВОДНОЕ"
"5120882000",,"ВИПАСНЕНСЬКА/С.ВИПАСНЕ","ВЫПАСНЕНСКИЙ/С.ВЫПАСНОЕ"
"5120882001","С","ВИПАСНЕ","ВЫПАСНОЕ"
"5120882002","С","СУХОЛУЖЖЯ","СУХОЛУЖЬЕ"
"5120882800",,"КОЗАЦЬКА/С.КОЗАЦЬКЕ","КАЗАЦКИЙ/С.КАЗАЦКОЕ"
"5120882801","С","КОЗАЦЬКЕ","КАЗАЦКОЕ"
"5120883200",,"КАРНАЛІЇВСЬКА/С.КАРНАЛІЇВКА","КАРНАЛИЕВСКИЙ/С.КАРНАЛИЕВКА"
"5120883201","С","КАРНАЛІЇВКА","КАРНАЛИЕВКА"
"5120883600",,"КРАСНОКОСЯНСЬКА/С.КРАСНА КОСА","КРАСНОКОСЯНСКИЙ/С.КРАСНАЯ КОСА"
"5120883601","С","КРАСНА КОСА","КРАСНАЯ КОСА"
"5120883800",,"КРУТОЯРІВСЬКА/С.КРУТОЯРІВКА","КРУТОЯРОВСКИЙ/С.КРУТОЯРОВКА"
"5120883801","С","КРУТОЯРІВКА","КРУТОЯРОВКА"
"5120884200",,"МАРАЗЛІЇВСЬКА/С.МАРАЗЛІЇВКА","МАРАЗЛИЕВСКИЙ/С.МАРАЗЛИЕВКА"
"5120884201","С","МАРАЗЛІЇВКА","МАРАЗЛИЕВКА"
"5120884203","С","ЗЕЛЕНЕ","ЗЕЛЕНОЕ"
"5120884205","С","ОЛЕКСІЇВКА","АЛЕКСЕЕВКА"
"5120884207","С","ПОЛЯНКА","ПОЛЯНКА"
"5120884209","С","РОМАНІВКА","РОМАНОВКА"
"5120884400",,"МОЛОГІВСЬКА/С.МОЛОГА","МОЛОГОВСКИЙ/С.МОЛОГА"
"5120884401","С","МОЛОГА","МОЛОГА"
"5120884402","С","БИКОЗА","БЫКОЗА"
"5120884404","С","НОВЕ","НОВОЕ"
"5120884406","С","САДОВЕ","САДОВОЕ"
"5120884600",,"МОНАШІВСЬКА/С.МОНАШІ","МОНАШЕВСКИЙ/С.МОНАШИ"
"5120884601","С","МОНАШІ","МОНАШИ"
"5120885100",,"МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА","НИКОЛАЕВСКИЙ/С.НИКОЛАЕВКА"
"5120885101","С","МИКОЛАЇВКА","НИКОЛАЕВКА"
"5120885200",,"НОВОЦАРИЧАНСЬКА/С.НОВА ЦАРИЧАНКА","НОВОЦАРИЧАНСКИЙ/С.НОВАЯ ЦАРИЧАНКА"
"5120885201","С","НОВА ЦАРИЧАНКА","НОВАЯ ЦАРИЧАНКА"
"5120885400",,"ПЕТРІВСЬКА/С.ПЕТРІВКА","ПЕТРОВСКИЙ/С.ПЕТРОВКА"
"5120885401","С","ПЕТРІВКА","ПЕТРОВКА"
"5120885500",,"ПІДГІРНЕНСЬКА/С.ПІДГІРНЕ","ПОДГОРНЕНСКИЙ/С.ПОДГОРНОЕ"
"5120885501","С","ПІДГІРНЕ","ПОДГОРНОЕ"
"5120885600",,"ПРИМОРСЬКА/С.ПРИМОРСЬКЕ","ПРИМОРСКИЙ/С.ПРИМОРСКОЕ"
"5120885601","С","ПРИМОРСЬКЕ","ПРИМОРСКОЕ"
"5120885602","С","ВІЛЬНЕ","ВОЛЬНОЕ"
"5120885603","С","КОСІВКА","КОСОВКА"
"5120885604","С","КУРОРТНЕ","КУРОРТНОЕ"
"5120885605","С","ПОПАЗДРА","ПОПАЗДРА"
"5120885606","С","ЧАБАНСЬКЕ","ЧАБАНСКОЕ"
"5120886000",,"РУСЬКОІВАНІВСЬКА/С.РУСЬКОІВАНІВКА","РУССКОИВАНОВСКИЙ/С.РУССКОИВАНОВКА"
"5120886001","С","РУСЬКОІВАНІВКА","РУССКОИВАНОВКА"
"5120886400",,"СЕМЕНІВСЬКА/С.СЕМЕНІВКА","СЕМЕНОВСКИЙ/С.СЕМЕНОВКА"
"5120886401","С","СЕМЕНІВКА","СЕМЕНОВКА"
"5120886402","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"5120886403","С","ГОНЧАРІВКА","ГОНЧАРОВКА"
"5120886404","С","ПІВДЕННЕ","ПИВДЕННОЕ"
"5120886600",,"САЛГАНСЬКА/С.САЛГАНИ","САЛГАНСКИЙ/С.САЛГАНЫ"
"5120886601","С","САЛГАНИ","САЛГАНЫ"
"5120886603","С","АБРИКОСОВЕ","АБРИКОСОВОЕ"
"5120886605","С","ПРИВІТНЕ","ПРИВЕТНОЕ"
"5120886700",,"СОФІЇВСЬКА/С.СОФІЇВКА","СОФИЕВСКИЙ/С.СОФИЕВКА"
"5120886701","С","СОФІЇВКА","СОФИЕВКА"
"5120886800",,"СТАРОКОЗАЦЬКА/С.СТАРОКОЗАЧЕ","СТАРОКАЗАЦКИЙ/С.СТАРОКАЗАЧЬЕ"
"5120886801","С","СТАРОКОЗАЧЕ","СТАРОКАЗАЧЬЕ"
"5120886802","С","ЗЕЛЕНІВКА","ЗЕЛЕНОВКА"
"5120887200",,"СТАРОЦАРИЧАНСЬКА/С.СТАРА ЦАРИЧАНКА","СТАРОЦАРИЧАНСКИЙ/С.СТАРАЯ ЦАРИЧАНКА"
"5120887201","С","СТАРА ЦАРИЧАНКА","СТАРАЯ ЦАРИЧАНКА"
"5120887400",,"УДОБНЕНСЬКА/С.УДОБНЕ","УДОБНЕНСКИЙ/С.УДОБНОЕ"
"5120887401","С","УДОБНЕ","УДОБНОЕ"
"5120887700",,"ШАБІВСЬКА/С.ШАБО","ШАБОВСКИЙ/С.ШАБО"
"5120887701","С","ШАБО","ШАБО"
"5120887702","С","БІЛЕНЬКЕ","БЕЛЕНЬКОЕ"
"5120887703","Щ","ПРИБЕРЕЖНЕ","ПРИБРЕЖНОЕ"
"5120888200",,"ШИРОКІВСЬКА/С.ШИРОКЕ","ШИРОКОВСКИЙ/С.ШИРОКОЕ"
"5120888201","С","ШИРОКЕ","ШИРОКОЕ"
"5121000000",,"БІЛЯЇВСЬКИЙ РАЙОН/М.БІЛЯЇВКА","БЕЛЯЕВСКИЙ РАЙОН/Г.БЕЛЯЕВКА"
"5121055000",,"СЕЛИЩА МІСЬКОГО ТИПУ БІЛЯЇВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА БЕЛЯЕВСКОГО Р-НА"
"5121056800","Т","ХЛІБОДАРСЬКЕ","ХЛЕБОДАРСКОЕ"
"5121056802","Щ","РАДІСНЕ","РАДОСТНОЕ"
"5121080000",,"СІЛЬРАДИ БІЛЯЇВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БЕЛЯЕВСКОГО Р-НА"
"5121080300",,"АВГУСТІВСЬКА/С.АВГУСТІВКА","АВГУСТОВСКИЙ/С.АВГУСТОВКА"
"5121080301","С","АВГУСТІВКА","АВГУСТОВКА"
"5121080302","С","ЛАТІВКА","ЛАТОВКА"
"5121080303","Щ","НАБЕРЕЖНЕ","НАБЕРЕЖНОЕ"
"5121080304","С","ПРОТОПОПІВКА","ПРОТОПОПОВКА"
"5121080305","С","ЧЕРЕВИЧНЕ","ЧЕРЕВИЧНОЕ"
"5121080700",,"БЕРЕЗАНСЬКА/С.БЕРЕЗАНЬ","БЕРЕЗАНСКИЙ/С.БЕРЕЗАНЬ"
"5121080701","С","БЕРЕЗАНЬ","БЕРЕЗАНЬ"
"5121080702","С","ВАЖНЕ","ВАЖНОЕ"
"5121080703","С","ДОБРОЖАНОВЕ","ДОБРОЖАНОВО"
"5121080704","Щ","ДОСЛІДНЕ","ДОСЛИДНОЕ"
"5121080705","С","КУРГАН","КУРГАН"
"5121080706","С","ПЕТРОВЕ","ПЕТРОВОЕ"
"5121081000",,"ВАСИЛІВСЬКА/С.ВАСИЛІВКА","ВАСИЛЬЕВСКИЙ/С.ВАСИЛЬЕВКА"
"5121081001","С","ВАСИЛІВКА","ВАСИЛЬЕВКА"
"5121081400",,"ВЕЛИКОДАЛЬНИЦЬКА/С.ВЕЛИКИЙ ДАЛЬНИК","ВЕЛИКОДАЛЬНИКСКИЙ/С.ВЕЛИКИЙ ДАЛЬНИК"
"5121081401","С","ВЕЛИКИЙ ДАЛЬНИК","ВЕЛИКИЙ ДАЛЬНИК"
"5121081403","Щ","РОЗСЕЛЕНЕЦЬ","РАССЕЛЕНЕЦ"
"5121081700",,"ВИГОДЯНСЬКА/С.ВИГОДА","ВЫГОДЯНСКИЙ/С.ВЫГОДА"
"5121081701","С","ВИГОДА","ВЫГОДА"
"5121081702","С","СОНЯЧНЕ","СОЛНЕЧНОЕ"
"5121081703","С","ПАЛІЇВКА","ПАЛИЕВКА"
"5121081704","С","ЗОРЯНЕ","ЗОРЯНОЕ"
"5121082000",,"ГРАДЕНИЦЬКА/С.ГРАДЕНИЦІ","ГРАДЕНИЦКИЙ/С.ГРАДЕНИЦЫ"
"5121082001","С","ГРАДЕНИЦІ","ГРАДЕНИЦЫ"
"5121082400",,"ДАЧНЕНСЬКА/С.ДАЧНЕ","ДАЧНЕНСКИЙ/С.ДАЧНОЕ"
"5121082401","С","ДАЧНЕ","ДАЧНОЕ"
"5121082800",,"ІЛЛІНСЬКА/С.ІЛЛІНКА","ИЛЬИНСКИЙ/С.ИЛЬИНКА"
"5121082801","С","ІЛЛІНКА","ИЛЬИНКА"
"5121082803","С","КОВАЛІВКА","КОВАЛЕВКА"
"5121082806","Щ","НОВА КОВАЛІВКА","НОВАЯ КОВАЛЕВКА"
"5121082809","С","ТИХЕ","ТИХОЕ"
"5121082811","С","ЧОБОТАРІВКА","ЧЕБОТАРЕВКА"
"5121083000",,"КАГАРЛИЦЬКА/С.КАГАРЛИК","КАГАРЛЫКСКИЙ/С.КАГАРЛЫК"
"5121083001","С","КАГАРЛИК","КАГАРЛЫК"
"5121083200",,"КАМ'ЯНСЬКА/С.КАМ'ЯНКА","КАМЕНСКИЙ/С.КАМЕНКА"
"5121083201","С","КАМ'ЯНКА","КАМЕНКА"
"5121083203","С","ЧЕРВОНА ГІРКА","ЧЕРВОНАЯ ГОРКА"
"5121083700",,"МАЙОРІВСЬКА/С.МАЙОРИ","МАЙОРОВСКИЙ/С.МАЙОРЫ"
"5121083701","С","МАЙОРИ","МАЙОРЫ"
"5121083702","С","ПОВСТАНСЬКЕ","ПОВСТАНСКОЕ"
"5121083800",,"МАРИНІВСЬКА/С.МАРИНІВКА","МАРИНОВСКИЙ/С.МАРИНОВКА"
"5121083801","С","МАРИНІВКА","МАРИНОВКА"
"5121083803","С","БЕРЕГОВЕ","БЕРЕГОВОЕ"
"5121083805","С","НОВА ЕМЕТІВКА","НОВАЯ ЭМЕТОВКА"
"5121083807","С","СТАРА ЕМЕТІВКА","СТАРАЯ ЭМЕТОВКА"
"5121083900",,"МАЯКІВСЬКА/С.МАЯКИ","МАЯКОВСКИЙ/С.МАЯКИ"
"5121083901","С","МАЯКИ","МАЯКИ"
"5121084100",,"МИРНЕНСЬКА/С.МИРНЕ","МИРНЕНСКИЙ/С.МИРНОЕ"
"5121084101","С","МИРНЕ","МИРНОЕ"
"5121084102","С","ШИРОКА БАЛКА","ШИРОКАЯ БАЛКА"
"5121084200",,"НЕРУБАЙСЬКА/С.НЕРУБАЙСЬКЕ","НЕРУБАЙСКИЙ/С.НЕРУБАЙСКОЕ"
"5121084201","С","НЕРУБАЙСЬКЕ","НЕРУБАЙСКОЕ"
"5121084202","С","ВЕЛИКА БАЛКА","ВЕЛИКАЯ БАЛКА"
"5121084203","Щ","УСАТОВЕ","УСАТОВО"
"5121084500",,"СЕКРЕТАРІВСЬКА/С.СЕКРЕТАРІВКА","СЕКРЕТАРЕВСКИЙ/С.СЕКРЕТАРЕВКА"
"5121084501","С","СЕКРЕТАРІВКА","СЕКРЕТАРЕВКА"
"5121084505","С","МИХАЙЛІВКА","МИХАЙЛОВКА"
"5121084800",,"ТРОЇЦЬКА/С.ТРОЇЦЬКЕ","ТРОИЦКИЙ/С.ТРОИЦКОЕ"
"5121084801","С","ТРОЇЦЬКЕ","ТРОИЦКОЕ"
"5121085200",,"УСАТІВСЬКА/С.УСАТОВЕ","УСАТОВСКИЙ/С.УСАТОВО"
"5121085201","С","УСАТОВЕ","УСАТОВО"
"5121085400",,"ХОЛОДНОБАЛКІВСЬКА/С.ХОЛОДНА БАЛКА","ХОЛОДНОБАЛКОВСКИЙ/С.ХОЛОДНАЯ БАЛКА"
"5121085401","С","ХОЛОДНА БАЛКА","ХОЛОДНАЯ БАЛКА"
"5121085402","С","АЛТЕСТОВЕ","АЛТЕСТОВО"
"5121085600",,"ЯСЬКІВСЬКА/С.ЯСЬКИ","ЯСЬКОВСКИЙ/С.ЯСЬКИ"
"5121085601","С","ЯСЬКИ","ЯСЬКИ"
"5121200000",,"БЕРЕЗІВСЬКИЙ РАЙОН/М.БЕРЕЗІВКА","БЕРЕЗОВСКИЙ РАЙОН/Г.БЕРЕЗОВКА"
"5121210000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БЕРЕЗІВСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ БЕРЕЗОВСКОГО Р-НА"
"5121210100","М","БЕРЕЗІВКА","БЕРЕЗОВКА"
"5121255000",,"СЕЛИЩА МІСЬКОГО ТИПУ БЕРЕЗІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА БЕРЕЗОВСКОГО Р-НА"
"5121255600","Т","РАУХІВКА","РАУХОВКА"
"5121280000",,"СІЛЬРАДИ БЕРЕЗІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ БЕРЕЗОВСКОГО Р-НА"
"5121280400",,"АНАТОЛІВСЬКА/С.АНАТОЛІВКА","АНАТОЛЬЕВСКИЙ/С.АНАТОЛЬЕВКА"
"5121280401","С","АНАТОЛІВКА","АНАТОЛЬЕВКА"
"5121280402","С","АНТОНІВКА","АНТОНОВКА"
"5121280403","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"5121280404","С","КРАСНЕ","КРАСНОЕ"
